order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
931465.INDX,"09:31-11:30,13:01-15:00",0.0,沪深300ESG领先指数,,300ESGLX,1.0,INDX,0000-00-00,2020-04-30,Active,72.0,2017-06-30,1000.0,
931466.INDX,"09:31-11:30,13:01-15:00",0.0,沪深300ESG价值指数,,300ESGJZ,1.0,INDX,0000-00-00,2020-04-30,Active,71.0,2017-06-30,1000.0,
931467.INDX,"09:31-11:30,13:01-15:00",0.0,中证医药龙头指数,,YYLT,1.0,INDX,0000-00-00,2020-05-21,Active,1728.0,2012-12-31,1000.0,
931468.INDX,"09:31-11:30,13:01-15:00",0.0,中证红利质量指数,,HLZL,1.0,INDX,0000-00-00,2020-05-21,Active,1727.0,2004-12-31,1000.0,
931469.INDX,"09:31-11:30,13:01-15:00",0.0,中证云计算50指数,,YJS50,1.0,INDX,0000-00-00,2020-06-12,Active,1732.0,2014-12-31,1000.0,
931470.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深云计算产业指数,,SHSYJS,1.0,INDX,0000-00-00,2020-04-21,Active,1706.0,2014-12-31,1000.0,
931471.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深云计算产业港元指数,,SHSYJSHKD,1.0,INDX,0000-00-00,2020-04-21,Active,1707.0,2014-12-31,1000.0,
931472.INDX,"09:31-11:30,13:01-15:00",0.0,中证7-10年国开债流动性指数,,7-10NGKZL,1.0,INDX,0000-00-00,2020-07-17,Active,1763.0,2013-12-31,100.0,
931473.INDX,"09:31-11:30,13:01-15:00",0.0,中证民企50指数,,MQ50,1.0,INDX,0000-00-00,2023-11-09,Active,2388.0,2010-12-31,1000.0,
931474.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深内地地产龙头指数,,SHSDCLT,1.0,INDX,0000-00-00,2015-03-13,Active,612.0,2014-11-14,1000.0,
931475.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深内地地产龙头港元指数,,SHSDCLTHKD,1.0,INDX,0000-00-00,2015-03-13,Active,634.0,2014-11-14,1000.0,
931476.INDX,"09:31-11:30,13:01-15:00",0.0,中证ESG120策略指数,,ESG120CL,1.0,INDX,0000-00-00,2020-04-30,Active,1716.0,2017-06-30,1000.0,
