trade_date,order_book_id,open,close,high,low,total_turnover,volume,prev_close
2026-03-27,801039.INDX,5401.27,5586.396,5664.04,5365.07,1936270442.0,46858265.0,5521.28
2026-03-27,801040.INDX,2608.635,2677.573,2690.06,2608.635,10882418383.0,2311667478.0,2637.434
2026-03-27,801043.INDX,3842.417,3983.275,4056.72,3822.71,4120972384.0,361418193.0,3878.842
2026-03-27,801044.INDX,2403.19,2464.91,2479.18,2386.94,5521860835.0,1792792967.0,2429.334
2026-03-27,801045.INDX,4662.006,4744.267,4779.13,4635.68,1239585163.0,157456318.0,4714.922
2026-03-27,801050.INDX,8304.178,8687.444,8740.52,8304.178,141254936382.0,5520292686.0,8444.18
2026-03-27,801051.INDX,8812.81,9144.0,9229.15,8746.3,6291830946.0,288966909.0,8950.78
2026-03-27,801053.INDX,27279.94,28766.53,29006.7,27258.58,14995315844.0,554900481.0,27839.61
2026-03-27,801054.INDX,34191.72,36166.25,36790.73,34092.53,41311629231.0,985658505.0,34803.88
2026-03-27,801055.INDX,3271.247,3382.668,3413.02,3262.28,44395799637.0,2986718651.0,3329.358
2026-03-27,801056.INDX,21024.8,22540.21,22710.63,20976.06,34260360722.0,704048140.0,21242.09
2026-03-27,801072.INDX,7391.0,7585.715,7677.79,7324.11,42789971643.0,2855964914.0,7506.228
2026-03-27,801074.INDX,11736.59,12003.85,12141.23,11631.55,32655199078.0,1848786946.0,11908.63
2026-03-27,801076.INDX,5884.876,5951.64,6011.61,5848.23,4253977174.0,802630804.0,5930.103
2026-03-27,801077.INDX,22721.92,23019.72,23268.74,22564.89,7076383009.0,682493245.0,22977.38
2026-03-27,801078.INDX,17371.43,17983.83,18216.99,17275.0,31169599666.0,606034138.0,17621.4
2026-03-27,801080.INDX,6410.128,6595.342,6646.91,6398.99,287311152356.0,8631459730.0,6549.2
2026-03-27,801081.INDX,6942.77,7156.834,7249.84,6875.96,125199303375.0,1535947623.0,7101.14
2026-03-27,801082.INDX,15261.27,15714.56,15999.49,15052.32,15254981774.0,675810362.0,15681.16
2026-03-27,801083.INDX,13796.91,14071.93,14302.82,13618.93,44944213079.0,916213591.0,14140.32
2026-03-27,801084.INDX,1621.3,1663.461,1679.49,1606.79,34816216014.0,3531811184.0,1646.324
2026-03-27,801085.INDX,8832.309,9069.063,9179.6,8773.51,46119618000.0,1356585836.0,9037.033
2026-03-27,801086.INDX,8366.626,8794.423,8942.84,8304.2,20976820112.0,615091134.0,8393.383
2026-03-27,801092.INDX,475.29,487.319,490.34,473.24,577630622.0,95308411.0,479.94
2026-03-27,801093.INDX,7692.53,7904.36,7980.45,7639.95,44161485586.0,2665234866.0,7853.68
2026-03-27,801095.INDX,18100.73,18358.69,18450.14,17963.35,10755312241.0,346513541.0,18085.52
2026-03-27,801096.INDX,8843.599,8885.231,8983.06,8775.53,3161099201.0,278863349.0,8922.1
2026-03-27,801101.INDX,2804.601,2849.047,2877.45,2787.29,17384542267.0,884898189.0,2848.711
2026-03-27,801102.INDX,7326.065,7455.908,7618.48,7211.74,108376142967.0,2005914925.0,7506.521
2026-03-27,801103.INDX,5377.961,5502.47,5573.06,5335.93,41503101309.0,2252179220.0,5461.28
2026-03-27,801104.INDX,6298.25,6453.9,6515.97,6258.94,32932181923.0,1567439902.0,6380.49
2026-03-27,801110.INDX,8423.366,8555.16,8563.48,8423.366,21957948602.0,1322445048.0,8559.136
2026-03-27,801111.INDX,17508.37,17776.21,17847.54,17366.96,6348054096.0,239585349.0,17812.85
2026-03-27,801112.INDX,2110.89,2149.69,2167.59,2093.47,2242788285.0,197883135.0,2141.55
2026-03-27,801113.INDX,4530.0,4596.15,4629.31,4490.72,2337701477.0,145843835.0,4580.32
